Date,Close/Last,Volume,Open,High,Low
10/05/2021,139.02,469239,137.39,140.29,137.32
10/04/2021,136.98,713941,140.27,140.27,135.35
10/01/2021,140.61,697371,140.19,141.1,138.42
09/30/2021,138.87,610592,138.24,140.14,137.82
09/29/2021,137.41,905957,141.21,141.63,137.26
09/28/2021,140.35,1448051,144.2,144.51,139.88
09/27/2021,146.28,864230,146.31,146.66,144.57
09/24/2021,147.13,964641,146.95,147.39,145.4301
09/23/2021,148.99,484921,148.56,149.25,147.95
09/22/2021,147.33,549974,145.08,147.8,144.57
09/21/2021,144.89,676604,145.07,145.98,143.685
09/20/2021,144.29,1612226,144.88,146.6,141.91
09/17/2021,150.5,455118,148.98,150.5,147.94
09/16/2021,148.98,690951,147.58,149.2,146.68
09/15/2021,148.03,471892,146.81,148.1701,145.44
09/14/2021,146.57,622285,148.45,149.44,145.97
09/13/2021,147.45,786984,150,150.12,144.53
09/10/2021,149.78,396830,151.8,152.55,149.6
09/09/2021,150.99,397638,150.33,152.35,150.21
09/08/2021,150.38,939405,153.005,153.06,149.05
09/07/2021,153.78,617938,154.7,155.76,152.73
09/03/2021,154.33,413106,153.24,154.8,152.84
09/02/2021,153.33,512947,153.56,154.92,152.95
09/01/2021,152.45,745731,151.63,153.68,151.46
08/31/2021,151.07,496842,151.13,151.83,150.18
08/30/2021,151.95,572508,151.12,152.511,150.33
08/27/2021,150.92,358632,148.8,151.18,148.44
08/26/2021,148.62,638014,150.6,151.98,148.1
08/25/2021,151.13,495435,150.49,151.415,149.91
08/24/2021,150.55,685242,149.6,150.7,149.33
08/23/2021,148.32,504608,146.74,148.7499,146.53
08/20/2021,145.45,670138,143.51,145.9,143.35
08/19/2021,142.49,831470,141.91,144.304,141.28
08/18/2021,143.52,667685,143.93,146.27,143.19
08/17/2021,143.85,952725,143.99,145.53,142.34
08/16/2021,145.84,713552,148.4,148.58,144.08
08/13/2021,149.3,514075,150.56,151.05,149.21
08/12/2021,150.18,424419,149.57,150.48,148.37
08/11/2021,150.05,688102,151.33,151.8,148.39
08/10/2021,149.93,590539,152.7,153.49,149.68
08/09/2021,152.38,744214,150.34,153.07,149.71
08/06/2021,149.33,896656,151.53,152.034,148.33
08/05/2021,151.6,798782,148.94,152.33,148.23
08/04/2021,150.05,789458,147.1,150.31,147.1
08/03/2021,147.41,610671,149.15,149.32,145.64
08/02/2021,148.88,716137,147.98,150.58,146.58
07/30/2021,147.55,639072,147.66,149.69,146.886
07/29/2021,149.19,2030191,149.18,151.55,148.84
07/28/2021,148.7,664321,145.86,149.165,144.96
07/27/2021,145.73,677179,148.34,148.79,142.19
07/26/2021,148.78,1099514,148.86,149.72,147.64
07/23/2021,148.19,722591,147.03,148.48,146.2
07/22/2021,146.27,361573,146.59,147.42,145.46
07/21/2021,146.19,639371,144.28,146.43,143.68
07/20/2021,143.71,967872,141.39,144.57,139.2
07/19/2021,140.61,1179869,136.95,140.89,136.27
07/16/2021,140.31,1007786,142.08,142.35,139.5
07/15/2021,140.98,797078,143.1,144.47,138.81
07/14/2021,143.13,845356,148.23,148.3099,143.1
07/13/2021,147.17,792105,148.36,149.77,146.97
07/12/2021,148.81,495181,149.5,150.82,147.5211
07/09/2021,148.9,571330,147.29,149.05,145.69
07/08/2021,146.59,900316,143.6,147.57,142.41
07/07/2021,148.38,853497,151.61,152.33,147.395
07/06/2021,150.73,860041,150.96,152.15,149.435
07/02/2021,150.69,1080172,152.37,153.92,150.4
07/01/2021,151.26,824447,154.25,154.3523,150.3
06/30/2021,154.07,939775,155.23,155.23,153.6
06/29/2021,155.92,945714,155.39,156.5,154.4
06/28/2021,155.18,1448746,152.75,155.51,152.68
06/25/2021,151.55,978499,152.5713,153.3096,150.37
06/24/2021,152.1,1227014,150.52,153.99,150.52
06/23/2021,148.79,1146553,147.04,149.35,146.92
06/22/2021,145.99,1296608,142.69,146.25,142.54
06/21/2021,143.54,876573,143.28,144.28,140.6502
06/18/2021,143.93,930660,142.84,145.18,142.71
06/17/2021,143.41,852469,138.8164,144.2994,138.61
06/16/2021,139.56,846231,139.57,140.67,136.921
06/15/2021,139.61,618638,142.34,142.96,139.3101
06/14/2021,142.65,973825,141.21,143.55,141.21
06/11/2021,140.46,412349,139.49,140.6,139.08
06/10/2021,139.3,769048,137.38,139.41,136.97
06/09/2021,137.69,756848,139.43,140.5,137.5581
06/08/2021,138.45,795599,139.48,140.13,135.82
06/07/2021,138.27,1261972,135.52,138.52,134.66
06/04/2021,135.74,762642,135.77,136.7099,135.1
06/03/2021,134.52,806975,136.85,137.62,134.28
06/02/2021,138.49,834989,138.13,139.42,137.3
06/01/2021,138.05,1759009,138.74,140.05,136.57
05/28/2021,137.61,779106,138.92,140.68,137.58
05/27/2021,138.59,1004601,137.44,138.61,135.1
05/26/2021,137.37,1120780,136.005,137.9747,135.61
05/25/2021,134.9,845069,135.42,136.47,134.07
05/24/2021,134.48,2471164,131.34,135.15,130.7
05/21/2021,130.52,1263001,132.83,133.45,130.34
05/20/2021,131.3,1738345,129.33,131.73,128.88
05/19/2021,127.07,1322201,122.67,127.23,122.67
05/18/2021,128.57,721294,127.27,130.83,126.21
05/17/2021,127.31,959015,126.54,128.8201,124.44
05/14/2021,128.6,1199587,125.76,129.19,124.62
05/13/2021,123.49,2195304,128.52,129.39,120.79
05/12/2021,127.75,2217708,130.13,132.36,126.71
05/11/2021,133.01,2583839,123.61,133.28,123.61
05/10/2021,130.04,3153209,135.4,135.4,129.98
05/07/2021,137.25,2956517,137.57,140.34,136.5
05/06/2021,134.92,2563212,137.55,137.72,132.46
05/05/2021,138.73,1565667,142.74,142.98,138.04
05/04/2021,141.31,2052616,142.94,143.15,137.86
05/03/2021,145.25,1290937,149.17,149.41,144.9501
04/30/2021,148.57,636990,147.43,150.64,147.36
04/29/2021,150.1,1019368,155.41,155.47,148.54
04/28/2021,154.19,755037,154,155.27,152.41
04/27/2021,155.11,932433,156.75,157.74,154.42
04/26/2021,156.74,1166610,153.113,156.91,152.075
04/23/2021,152,888240,148.65,152.4089,148.65
04/22/2021,148.5,949103,151.19,152.71,147.66
04/21/2021,150.26,922966,145.7,150.26,144.48
04/20/2021,147.72,1095217,149.6,150.98,145.485
04/19/2021,150.28,1349331,152.44,153.62,148.38
04/16/2021,155.41,704967,157.6301,157.6301,153.8
04/15/2021,157.65,1352459,157.78,158.19,156.06
04/14/2021,155.3,1238011,161.347,161.79,154.93
04/13/2021,160.08,999633,155.55,160.2399,155.51
04/12/2021,154.2,705672,154.03,154.825,151.98
04/09/2021,154.29,640284,153.88,154.45,152.57
